Title,Previous_Article,Level
COVID-19_pandemic_on_Charles_de_Gaulle,,0
COVID-19_pandemic_on_cruise_ships,,0
COVID-19_pandemic_on_Diamond_Princess,,0
COVID-19_pandemic_on_Grand_Princess,,0
COVID-19_pandemic_in_the_Guantanamo_Bay_Naval_Base,,0
Impact_of_the_COVID-19_pandemic_on_hospitals,,0
Impact_of_the_COVID-19_pandemic_on_long-term_care_facilities,,0
COVID-19_pandemic_on_naval_ships,,0
Impact_of_the_COVID-19_pandemic_on_prisons,,0
COVID-19_pandemic_on_USS_Theodore_Roosevelt,,0
Category:2019–20_coronavirus_pandemic_by_city,,0
COVID-19_pandemic_in_Delhi,Category:2019–20_coronavirus_pandemic_by_city,1
COVID-19_pandemic_in_London,Category:2019–20_coronavirus_pandemic_by_city,1
COVID-19_pandemic_in_Montreal,Category:2019–20_coronavirus_pandemic_by_city,1
COVID-19_pandemic_in_Sevastopol,Category:2019–20_coronavirus_pandemic_by_city,1
Category:2019–20_coronavirus_pandemic_in_China_by_city,Category:2019–20_coronavirus_pandemic_by_city,1
COVID-19_pandemic_in_Hong_Kong,Category:2019–20_coronavirus_pandemic_in_China_by_city,2
COVID-19_pandemic_in_Macau,Category:2019–20_coronavirus_pandemic_in_China_by_city,2
COVID-19_pandemic_in_Shanghai,Category:2019–20_coronavirus_pandemic_in_China_by_city,2
Category:Deaths_from_the_2019–20_coronavirus_pandemic_by_city,Category:2019–20_coronavirus_pandemic_by_city,1
Category:Deaths_from_the_2020_coronavirus_pandemic_in_London,Category:Deaths_from_the_2019–20_coronavirus_pandemic_by_city,2
Edman_Ayvazyan,Category:Deaths_from_the_2020_coronavirus_pandemic_in_London,3
Jay_Benedict,Category:Deaths_from_the_2020_coronavirus_pandemic_in_London,3
Rifat_Chadirji,Category:Deaths_from_the_2020_coronavirus_pandemic_in_London,3
Gulshan_Ewing,Category:Deaths_from_the_2020_coronavirus_pandemic_in_London,3
Mohamed_Farah_(footballer),Category:Deaths_from_the_2020_coronavirus_pandemic_in_London,3
William_Frankland_(allergist),Category:Deaths_from_the_2020_coronavirus_pandemic_in_London,3
Michael_Gilkes_(writer),Category:Deaths_from_the_2020_coronavirus_pandemic_in_London,3
Hudeidi,Category:Deaths_from_the_2020_coronavirus_pandemic_in_London,3
Nur_Hassan_Hussein,Category:Deaths_from_the_2020_coronavirus_pandemic_in_London,3
Azam_Khan_(squash_player),Category:Deaths_from_the_2020_coronavirus_pandemic_in_London,3
John_Laws_(judge),Category:Deaths_from_the_2020_coronavirus_pandemic_in_London,3
Avrohom_Pinter,Category:Deaths_from_the_2020_coronavirus_pandemic_in_London,3
Tim_Robinson_(cartographer),Category:Deaths_from_the_2020_coronavirus_pandemic_in_London,3
Anton_Sebastianpillai,Category:Deaths_from_the_2020_coronavirus_pandemic_in_London,3
Matthew_Seligman,Category:Deaths_from_the_2020_coronavirus_pandemic_in_London,3
Category:Deaths_from_the_2020_coronavirus_pandemic_in_New_York_City,Category:Deaths_from_the_2019–20_coronavirus_pandemic_by_city,2
Muhammad_Afzal_(wrestler),Category:Deaths_from_the_2020_coronavirus_pandemic_in_New_York_City,3
Beryl_Bernay,Category:Deaths_from_the_2020_coronavirus_pandemic_in_New_York_City,3
Mark_Blum,Category:Deaths_from_the_2020_coronavirus_pandemic_in_New_York_City,3
Lorena_Borjas,Category:Deaths_from_the_2020_coronavirus_pandemic_in_New_York_City,3
Patricia_Bosworth,Category:Deaths_from_the_2020_coronavirus_pandemic_in_New_York_City,3
Wilhelm_Burmann,Category:Deaths_from_the_2020_coronavirus_pandemic_in_New_York_City,3
Stanley_Chera,Category:Deaths_from_the_2020_coronavirus_pandemic_in_New_York_City,3
Romi_Cohn,Category:Deaths_from_the_2020_coronavirus_pandemic_in_New_York_City,3
Cristina_(singer),Category:Deaths_from_the_2020_coronavirus_pandemic_in_New_York_City,3
Kenneth_Farnum,Category:Deaths_from_the_2020_coronavirus_pandemic_in_New_York_City,3
Lila_Fenwick,Category:Deaths_from_the_2020_coronavirus_pandemic_in_New_York_City,3
Philip_Foglia,Category:Deaths_from_the_2020_coronavirus_pandemic_in_New_York_City,3
James_T._Goodrich,Category:Deaths_from_the_2020_coronavirus_pandemic_in_New_York_City,3
Henry_Grimes,Category:Deaths_from_the_2020_coronavirus_pandemic_in_New_York_City,3
Wynn_Handman,Category:Deaths_from_the_2020_coronavirus_pandemic_in_New_York_City,3
Anick_Jesdanun,Category:Deaths_from_the_2020_coronavirus_pandemic_in_New_York_City,3
Justa_Barrios,Category:Deaths_from_the_2020_coronavirus_pandemic_in_New_York_City,3
Lee_Konitz,Category:Deaths_from_the_2020_coronavirus_pandemic_in_New_York_City,3
Giuseppi_Logan,Category:Deaths_from_the_2020_coronavirus_pandemic_in_New_York_City,3
Mike_Longo,Category:Deaths_from_the_2020_coronavirus_pandemic_in_New_York_City,3
Iris_Love,Category:Deaths_from_the_2020_coronavirus_pandemic_in_New_York_City,3
Adlin_Mair-Clarke,Category:Deaths_from_the_2020_coronavirus_pandemic_in_New_York_City,3
Alan_Merrill,Category:Deaths_from_the_2020_coronavirus_pandemic_in_New_York_City,3
Yaakov_Perlow,Category:Deaths_from_the_2020_coronavirus_pandemic_in_New_York_City,3
Joel_M._Reed,Category:Deaths_from_the_2020_coronavirus_pandemic_in_New_York_City,3
Arlene_Saunders,Category:Deaths_from_the_2020_coronavirus_pandemic_in_New_York_City,3
Muhammad_Sirajul_Islam,Category:Deaths_from_the_2020_coronavirus_pandemic_in_New_York_City,3
Michael_Sorkin,Category:Deaths_from_the_2020_coronavirus_pandemic_in_New_York_City,3
Arlene_Stringer-Cuevas,Category:Deaths_from_the_2020_coronavirus_pandemic_in_New_York_City,3
Hal_Willner,Category:Deaths_from_the_2020_coronavirus_pandemic_in_New_York_City,3
Category:Deaths_from_the_2020_coronavirus_pandemic_in_Paris,Category:Deaths_from_the_2019–20_coronavirus_pandemic_by_city,2
Jacques_F._Acar,Category:Deaths_from_the_2020_coronavirus_pandemic_in_Paris,3
Princess_María_Teresa_of_Bourbon-Parma,Category:Deaths_from_the_2020_coronavirus_pandemic_in_Paris,3
Jean-Laurent_Cochet,Category:Deaths_from_the_2020_coronavirus_pandemic_in_Paris,3
Marguerite_Aucouturier,Category:Deaths_from_the_2020_coronavirus_pandemic_in_Paris,3
Francesco_Di_Carlo,Category:Deaths_from_the_2020_coronavirus_pandemic_in_Paris,3
Manu_Dibango,Category:Deaths_from_the_2020_coronavirus_pandemic_in_Paris,3
Xavier_Dor,Category:Deaths_from_the_2020_coronavirus_pandemic_in_Paris,3
Paul_Goma,Category:Deaths_from_the_2020_coronavirus_pandemic_in_Paris,3
Jacques_Le_Brun,Category:Deaths_from_the_2020_coronavirus_pandemic_in_Paris,3
Philippe_Lécrivain,Category:Deaths_from_the_2020_coronavirus_pandemic_in_Paris,3
Aurlus_Mabélé,Category:Deaths_from_the_2020_coronavirus_pandemic_in_Paris,3
John_F._Murray,Category:Deaths_from_the_2020_coronavirus_pandemic_in_Paris,3
Bruce_Myers_(actor),Category:Deaths_from_the_2020_coronavirus_pandemic_in_Paris,3
Jacques_Oudin,Category:Deaths_from_the_2020_coronavirus_pandemic_in_Paris,3
Henri_Richelet,Category:Deaths_from_the_2020_coronavirus_pandemic_in_Paris,3
Michel_Tibon-Cornillot,Category:Deaths_from_the_2020_coronavirus_pandemic_in_Paris,3
Category:2020_coronavirus_pandemic_in_autonomous_cities_of_Spain,Category:2019–20_coronavirus_pandemic_by_city,1
COVID-19_pandemic_in_Ceuta,Category:2020_coronavirus_pandemic_in_autonomous_cities_of_Spain,2
COVID-19_pandemic_in_Melilla,Category:2020_coronavirus_pandemic_in_autonomous_cities_of_Spain,2
Category:2020_coronavirus_pandemic_in_the_United_States_by_city,Category:2019–20_coronavirus_pandemic_by_city,1
COVID-19_pandemic_in_Boston,Category:2020_coronavirus_pandemic_in_the_United_States_by_city,2
COVID-19_pandemic_in_Columbus|_Ohio,Category:2020_coronavirus_pandemic_in_the_United_States_by_city,2
COVID-19_pandemic_in_New_York_City,Category:2020_coronavirus_pandemic_in_the_United_States_by_city,2
COVID-19_pandemic_in_Philadelphia,Category:2020_coronavirus_pandemic_in_the_United_States_by_city,2
COVID-19_pandemic_in_Portland|_Oregon,Category:2020_coronavirus_pandemic_in_the_United_States_by_city,2
COVID-19_pandemic_in_Washington|_D.C.,Category:2020_coronavirus_pandemic_in_the_United_States_by_city,2
Category:2020_coronavirus_pandemic_in_New_York_City,Category:2020_coronavirus_pandemic_in_the_United_States_by_city,2
USNS_Comfort_(T-AH-20),Category:2020_coronavirus_pandemic_in_New_York_City,3
Isabella_Geriatric_Center,Category:2020_coronavirus_pandemic_in_New_York_City,3
Category:2019–20_coronavirus_pandemic_by_continent,,0
COVID-19_pandemic_in_Africa,Category:2019–20_coronavirus_pandemic_by_continent,1
COVID-19_pandemic_in_Antarctica,Category:2019–20_coronavirus_pandemic_by_continent,1
COVID-19_pandemic_in_Asia,Category:2019–20_coronavirus_pandemic_by_continent,1
COVID-19_pandemic_in_Europe,Category:2019–20_coronavirus_pandemic_by_continent,1
COVID-19_pandemic_in_North_America,Category:2019–20_coronavirus_pandemic_by_continent,1
COVID-19_pandemic_in_Oceania,Category:2019–20_coronavirus_pandemic_by_continent,1
COVID-19_pandemic_in_South_America,Category:2019–20_coronavirus_pandemic_by_continent,1
Category:COVID-19_pandemic_in_Africa,Category:2019–20_coronavirus_pandemic_by_continent,1
COVID-19_pandemic_in_Algeria,Category:COVID-19_pandemic_in_Africa,2
COVID-19_pandemic_in_Angola,Category:COVID-19_pandemic_in_Africa,2
COVID-19_pandemic_in_Benin,Category:COVID-19_pandemic_in_Africa,2
COVID-19_pandemic_in_Botswana,Category:COVID-19_pandemic_in_Africa,2
COVID-19_pandemic_in_Burkina_Faso,Category:COVID-19_pandemic_in_Africa,2
COVID-19_pandemic_in_Burundi,Category:COVID-19_pandemic_in_Africa,2
COVID-19_pandemic_in_Cameroon,Category:COVID-19_pandemic_in_Africa,2
COVID-19_pandemic_in_the_Canary_Islands,Category:COVID-19_pandemic_in_Africa,2
COVID-19_pandemic_in_Cape_Verde,Category:COVID-19_pandemic_in_Africa,2
